,cos,sin
303,0.6523456,0.75792164
304,0.66528654,0.7465881
305,0.9750985,0.22177216
306,0.86976385,0.49346814
307,0.7614175,0.6482618
308,0.9905454,0.13718541
309,0.58482397,0.81116027
310,0.6258885,0.77991253
311,0.55657554,0.830797
312,0.92274404,0.38541335
313,0.93545544,0.35344467
314,0.6258885,0.77991253
315,0.9905454,0.13718541
316,0.87812364,0.47843382
317,0.55657554,0.830797
318,0.63921165,0.76903087
319,0.5422022,0.84024805
320,0.55657554,0.830797
321,0.6258885,0.77991253
322,0.63921165,0.76903087
323,0.93545544,0.35344467
324,0.87812364,0.47843382
325,0.58482397,0.81116027
326,0.6258885,0.77991253
327,0.58482397,0.81116027
328,0.63921165,0.76903087
329,0.7614175,0.6482618
330,0.93545544,0.35344467
331,0.7614175,0.6482618
332,0.93545544,0.35344467
333,0.97113943,0.23851258
334,0.92923725,0.36948368
335,0.58482397,0.81116027
336,-0.34841082,0.9373419
337,-0.3322355,0.9431965
338,-0.4887854,0.87240404
339,-0.45848712,0.888701
340,-0.21652709,0.97627664
341,-0.14889039,0.9888537
342,0.4373401,0.89929616
343,0.4527447,0.8916402
344,-0.09768277,0.9952176
345,0.22701082,0.9738922
346,0.3423569,0.93957
347,0.3098349,0.95079035
348,0.091260724,0.995827
349,-0.24998097,0.96825075
350,-0.23328854,0.9724076
351,0.14250833,0.9897936
352,0.07411742,0.99724954
353,0.26037648,0.96550715
354,-0.046215046,0.9989315
355,0.022576263,0.99974513
356,0.35846832,0.9335419
357,0.32614416,0.94532007
358,-0.39629912,0.91812146
359,0.37447366,0.9272376
360,-0.11478762,0.9933901
361,-0.029025013,0.9995787
362,0.0053757317,0.9999856
363,-0.26659942,0.9638074
364,0.19337648,0.98112464
365,-0.01182639,0.9999301
366,-0.47370636,0.8806829
367,-0.44313222,0.89645624
368,-0.38044736,0.9248026
369,-0.283139,0.9590789
370,0.21022475,0.9776531
371,-0.13185851,0.9912686
372,-0.16587819,0.9861463
373,0.10837701,0.99410987
374,0.24372971,0.9698432
375,0.42180607,0.90668607
376,-0.36448303,0.93121004
377,-0.34841082,0.9373419
378,-0.3322355,0.9431965
379,0.3423569,0.93957
380,-0.13185851,0.9912686
381,-0.24998097,0.96825075
382,0.37447366,0.9272376
383,0.21022475,0.9776531
384,0.4527447,0.8916402
385,0.3098349,0.95079035
386,-0.39629912,0.91812146
387,0.19337648,0.98112464
388,-0.09768277,0.9952176
389,-0.45848712,0.888701
390,-0.21652709,0.97627664
391,-0.36448303,0.93121004
392,-0.283139,0.9590789
393,-0.16587819,0.9861463
394,0.022576263,0.99974513
395,0.0053757317,0.9999856
396,-0.029025013,0.9995787
397,-0.23328854,0.9724076
398,0.091260724,0.995827
399,-0.046215046,0.9989315
400,0.42180607,0.90668607
401,-0.11478762,0.9933901
402,-0.26659942,0.9638074
403,0.35846832,0.9335419
404,0.32614416,0.94532007
405,-0.14889039,0.9888537
406,0.24372971,0.9698432
407,-0.01182639,0.9999301
408,-0.44313222,0.89645624
409,0.22701082,0.9738922
410,0.07411742,0.99724954
411,0.26037648,0.96550715
412,-0.38044736,0.9248026
413,0.4373401,0.89929616
414,0.10837701,0.99410987
415,0.21022475,0.9776531
416,-0.26659942,0.9638074
417,-0.45848712,0.888701
418,0.3423569,0.93957
419,0.22701082,0.9738922
420,0.26037648,0.96550715
421,-0.283139,0.9590789
422,0.32614416,0.94532007
423,0.022576263,0.99974513
424,0.0053757317,0.9999856
425,0.35846832,0.9335419
426,-0.36448303,0.93121004
427,-0.44313222,0.89645624
428,-0.38044736,0.9248026
429,-0.23328854,0.9724076
430,-0.13185851,0.9912686
431,-0.47370636,0.8806829
432,-0.24998097,0.96825075
433,0.07411742,0.99724954
434,-0.046215046,0.9989315
435,-0.21652709,0.97627664
436,-0.01182639,0.9999301
437,-0.34841082,0.9373419
438,0.19337648,0.98112464
439,-0.14889039,0.9888537
440,-0.11478762,0.9933901
441,0.3098349,0.95079035
442,0.091260724,0.995827
443,0.24372971,0.9698432
444,-0.16587819,0.9861463
445,0.10837701,0.99410987
446,-0.39629912,0.91812146
447,-0.029025013,0.9995787
448,-0.4887854,0.87240404
449,-0.47370636,0.8806829
450,-0.36448303,0.93121004
451,-0.34841082,0.9373419
452,-0.3322355,0.9431965
453,-0.45848712,0.888701
454,-0.283139,0.9590789
455,-0.26659942,0.9638074
456,-0.16587819,0.9861463
457,-0.13185851,0.9912686
458,-0.11478762,0.9933901
459,0.22701082,0.9738922
460,0.10837701,0.99410987
461,0.14250833,0.9897936
462,-0.21652709,0.97627664
463,0.26037648,0.96550715
464,0.21022475,0.9776531
465,0.4373401,0.89929616
466,-0.24998097,0.96825075
467,-0.09768277,0.9952176
468,0.35846832,0.9335419
469,0.32614416,0.94532007
470,-0.14889039,0.9888537
471,0.3423569,0.93957
472,0.4527447,0.8916402
473,-0.44313222,0.89645624
474,-0.38044736,0.9248026
475,0.022576263,0.99974513
476,0.37447366,0.9272376
477,0.07411742,0.99724954
478,0.24372971,0.9698432
479,0.19337648,0.98112464
480,0.42180607,0.90668607
481,-0.39629912,0.91812146
482,0.3098349,0.95079035
483,-0.23328854,0.9724076
484,0.091260724,0.995827
485,-0.283139,0.9590789
486,-0.47370636,0.8806829
487,0.022576263,0.99974513
488,0.37447366,0.9272376
489,-0.36448303,0.93121004
490,-0.029025013,0.9995787
491,-0.01182639,0.9999301
492,0.3423569,0.93957
493,0.4373401,0.89929616
494,-0.26659942,0.9638074
495,-0.13185851,0.9912686
496,-0.11478762,0.9933901
497,0.0053757317,0.9999856
