,loss,dkl,mse,traj_mse
159,8.350747575625986,4.103192644074629,4.247554945685376,2.7937887436514153
160,8.307677413297704,4.109520325236685,4.198157070207522,2.7500000613713973
161,8.33308527212991,4.1015778383859045,4.231507456804772,2.789721809199745
162,8.289717555232055,4.095131981949352,4.194585592623992,2.744552930692057
163,8.295278053759784,4.0980668908534295,4.197211191918289,2.749384075170746
164,8.334084902092373,4.107743214147511,4.226341678274217,2.7730969132945615
165,8.320827088378335,4.10528073481948,4.215546334961461,2.7597263978907547
166,8.308333080755938,4.11061161803009,4.197721440408977,2.741352355052454
167,8.256449995472353,4.083909542809782,4.172540469772172,2.732403434196984
168,8.306735017928244,4.0836459303422945,4.22308909093348,2.7784473676577375
169,8.327716114740475,4.118943793167376,4.208772344633867,2.763321235659714
170,8.306066644731066,4.1062816829651645,4.199784948375779,2.74189265469865
171,8.318070785117781,4.110250295603331,4.207820477240171,2.7602903165980917
172,8.305893392161163,4.0958648308204975,4.210028572499101,2.7565704187997233
173,8.274099235415644,4.094120201194156,4.17997904612382,2.7442584785395963
174,8.306027513584368,4.093272533877963,4.212754994956268,2.7650851515265598
175,8.343742199509453,4.092753773360468,4.250988428008724,2.79346940521145
176,8.306521769804814,4.091233612780638,4.215288158511966,2.7659843812308704
177,8.291465344927426,4.101055933049242,4.1904094327072645,2.735378725852312
178,8.308167540896887,4.119852276562528,4.188315268053837,2.744911727964785
179,8.32801237865097,4.119802129064075,4.2082102458674155,2.755472527651259
180,8.292273734177517,4.108783761350302,4.183489985473442,2.7322616216359012
181,8.326386779035309,4.13171780276782,4.194668956182304,2.7410313476824353
182,8.309481970419563,4.117408437773515,4.192073562401877,2.742898451184706
183,8.28459119945532,4.112482196641229,4.1721089998385095,2.7316942337708614
184,8.301937076491239,4.091127729639062,4.210809343132698,2.75917937268333
185,8.316596440331612,4.110232386685757,4.206364032816776,2.7635704515132815
186,8.308038646085029,4.115444759124899,4.192593879521172,2.743737065289954
187,8.25681359831145,4.093687619136388,4.163125982894541,2.721009164444184
188,8.313280627805618,4.115849313423526,4.1974313352111725,2.743970798069899
189,8.265883515665944,4.079484107155881,4.186399402558896,2.75239899898654
190,8.318926806754888,4.1147674896787745,4.204159342368568,2.755056538931479
191,8.27897828529108,4.112060916591174,4.166917358285366,2.7167170884642697
192,8.251480803288834,4.084253789854124,4.167227022733406,2.7246426598702134
193,8.280991534918964,4.109493528624965,4.171498010757375,2.7350614576741425
194,8.271689358441952,4.11188041884888,4.159808946660082,2.717073780140155
195,8.248996138014771,4.116500255656131,4.132495878639162,2.699258235613009
196,8.273652917323359,4.094201659263575,4.179451274425489,2.735025945208188
197,8.262182853151224,4.1075498261801355,4.154633051891595,2.7072271032378006
198,8.283057220268548,4.089466478820896,4.193590725081945,2.738917833557367
199,8.281618528916571,4.120257114285426,4.1613614243017905,2.7105833911300636
200,8.27669251467248,4.090350132464619,4.186342377000591,2.74771901560648
201,8.300998108993268,4.101708761429452,4.199289344216286,2.751766387832332
